video_id,CLIP Score_mean,CLIP Score_std,Temporal Consistency_mean,Temporal Consistency_std,PickScore_mean,PickScore_std
ApplyMakeup,0.25603333333333333,0.03001132636430665,0.9491999999999999,0.029168222732818425,17.23882083333333,0.5010769210924103
BoxingPunchingBag,0.3499083333333333,0.016979550786977143,0.9243333333333333,0.03147618377325206,18.33915,0.5905040536620438
BrushingTeeth,0.34265833333333334,0.019560606300434043,0.9358583333333333,0.016732522787690468,18.749875,0.7324827691993245
CleanAndJerk,0.3113916666666667,0.016968690263993932,0.9127583333333332,0.027499532275337288,17.924183333333335,0.6459221939055121
Fencing,0.36215833333333336,0.012316017025090501,0.9242625000000001,0.033557320363819275,19.362424999999998,0.41683334929796195
GolfSwing,0.3119166666666667,0.021508191900775384,0.961925,0.01779814963513855,19.53291666666667,0.7414529811042697
HandstandWalking,0.3023416666666667,0.017403970478192525,0.9567583333333333,0.016494581894793733,19.152833333333334,0.5334289225026312
HorseRiding,0.28933333333333333,0.01875864245265811,0.9225125,0.03473063191878691,18.094995833333332,0.6710810399316877
RockClimbingIndoor,0.3036166666666667,0.028477736027910667,0.9229666666666666,0.01993072058878969,18.320091666666666,0.41301875093413015
SkateBoarding,0.32359583333333336,0.01863868065788635,0.8894625,0.023951342206195058,18.4851125,0.38114313791027055
