video_id,CLIP Score_mean,CLIP Score_std,Temporal Consistency_mean,Temporal Consistency_std,PickScore_mean,PickScore_std
ApplyMakeup,0.3023777777777778,0.021814145512589877,0.9594444444444444,0.012058514741782175,19.21358888888889,0.6630843412501239
BoxingPunchingBag,0.3418555555555555,0.02863704380304953,0.9686666666666667,0.009899242395254323,19.823922222222222,1.056983225715736
BrushingTeeth,0.3577333333333333,0.03468158733391537,0.9665555555555555,0.011099224197112983,21.403322222222226,1.0298939068877166
CleanAndJerk,0.31245555555555554,0.018794753996202746,0.9539666666666667,0.020092909197027685,20.23931111111111,0.8161868726652682
Fencing,0.3617444444444444,0.036876012227161706,0.9667,0.011276302585510897,20.725066666666667,0.9691497652581881
GolfSwing,0.3352,0.014433987668000832,0.9310222222222223,0.023756145403757024,20.892122222222223,0.6793148345534957
HandstandWalking,0.30738888888888893,0.01738839012419238,0.9702888888888889,0.011720542270352085,20.428311111111114,0.5486627913492146
HorseRiding,0.3209111111111111,0.01726401202244457,0.9411777777777779,0.01891604991652446,20.320322222222224,0.6012245478558293
RockClimbingIndoor,0.31595555555555555,0.02933241002334751,0.9509777777777777,0.014642812040193801,18.835944444444447,0.4894804059181306
SkateBoarding,0.3063222222222222,0.0276333936468984,0.942888888888889,0.039919464063425406,20.175644444444444,0.5518940435244587
